"Timestamp","Which district you are from?","Gender","Age range ","Highest education qualification ","Occupation ","Monthly Income ","Do you have a savings / current account?","Does your bank provide online banking application services?","Do you own a smartphone that is capable of running mobile banking apps? ","Do you use a self-care mobile banking app? ","How many different bank accounts do you have?","How do you fulfill your banking needs? (you can select multiple answers)","When do you use bank counters? (you can select multiple answers)","When do you use ATM (you can select multiple answers)","How far you usually travel to access your bank / ATM","How often you use bank / ATM per week","Do you think ATM and bank counters are more secure than mobile banking applications?","Are the ATM and bank counters a faster way to do transactions than mobile applications?","Are you afraid that you might make any mistakes when doing payments and transactions via online banking applications?","Does the process of onboarding to the mobile baking application for the first time too much time-consuming?","Should the online banking application fee be reduced?","Should the banking application user experience be improved? ","Given the COVID19 Social Distancing and Lockdowns, Will you consider moving towards online banking applications?"
"2020/10/30 9:08:39 am GMT+5:30","Colombo","Male","25 - 45","Diploma / Bachelor's Degree","Professional , Technical","Above 100 000","Yes","Yes","Yes","Yes","","","","","","","","","","","","",""
"2020/10/30 9:17:29 am GMT+5:30","Ampara","Female","25 - 45","Diploma / Bachelor's Degree","Student","Not Applicable","Yes","Maybe","Yes","No","2","ATM","Check the account status / balance","Money Withdrawal","< 2 Km","1 - 3","Agree","Strongly Agree","Neutral","Disagree","Agree","Agree","Maybe"
"2020/10/30 9:23:13 am GMT+5:30","Kurunegala","Male","16 - 25","Diploma / Bachelor's Degree","Software Engineer","50 000 - 100 000","Yes","Yes","Yes","Yes","","","","","","","","","","","","",""
"2020/10/30 9:24:12 am GMT+5:30","Colombo","Female","25 - 45","Master's / PHD","Professional , Technical","Above 100 000","Yes","Yes","Yes","Yes","","","","","","","","","","","","",""
"2020/10/30 9:24:51 am GMT+5:30","Colombo","Female","25 - 45","Master's / PHD","Professional , Technical","Above 100 000","Yes","Yes","Yes","Yes","","","","","","","","","","","","",""
"2020/10/30 9:26:17 am GMT+5:30","Colombo","Female","25 - 45","Master's / PHD","Professional , Technical","Above 100 000","Yes","Yes","Yes","Yes","","","","","","","","","","","","",""
"2020/10/30 9:29:24 am GMT+5:30","Colombo","Male","25 - 45","Master's / PHD","Medical officer","Above 100 000","Yes","Yes","Yes","Yes","","","","","","","","","","","","",""
"2020/10/30 9:30:30 am GMT+5:30","Jaffna","Female","25 - 45","Diploma / Bachelor's Degree","Professional , Technical","Above 100 000","Yes","Yes","Yes","Yes","","","","","","","","","","","","",""
"2020/10/30 9:32:09 am GMT+5:30","Ampara","Female","16 - 25","Diploma / Bachelor's Degree","Manager","Above 100 000","Yes","Yes","Yes","Yes","","","","","","","","","","","","",""
"2020/10/30 9:45:36 am GMT+5:30","Kurunegala","Male","16 - 25","Diploma / Bachelor's Degree","Professional , Technical","50 000 - 100 000","Yes","Yes","Yes","Yes","","","","","","","","","","","","",""
